Title,Date,Rating,Description,Score
Scribblenauts,,,"The goal is simple - help our Maxwell reach the Starite by solving each challenge - but the mission before you can range from straightforward to downright tricky! To catch the Starite, write any object you can think of and watch as it comes to life. [Warner]",Metascore 79 out of 100
Cuisineer,"Aug 31, 2010",T,"Welcome to the world of Cuisineer, a cute food-focused game where you play as Pom, an adventurer who has returned back to her hometown of Paell only to find out that you've inherited the family restaurant but it is in debt and on the brink of collapse. The only way to pay back the debt is to reopen the restaurant! And to do THAT you've got to go dungeon-delving!",Metascore 79 out of 100
Otogi 2: Immortal Warriors,,,"Otogi 2 takes place directly after the events chronicled in the original Otogi: Myth of Demons. Raikoh, the famed undead warrior from the original game, rises again to save Japan from an onslaught of demons. This time, he is joined by six other selfless warriors who have taken their own lives to resurrect Raikoh. As you acquire more special items, you can increase each character's strengths and abilities. Fulfill your destiny in Story mode, or destroy everything in the new Havoc mode.",Metascore 79 out of 100
ASTLIBRA Revision,"Nov 3, 2021",,"ASTLIBRA Revision is a side scrolling 2D action RPG. It contains various reinforcement elements, exhilarating combat, rare equipment, battles with huge bosses, beautiful art, and long story. 

The main character is separated from his childhood friend when his village is attacked by a demon. When he comes to his senses, he finds himself in a world with talking birds and no humans.

This is a full-length story about the many adventures of a young man who is tossed about by time and fate, but faces them with true courage and kindness.",Metascore 79 out of 100
Five Dates,,,"Five Dates is a completely live-action, interactive romantic comedy. The plot follows Vinny, a millennial from London, joins a dating app for the first time while living in lockdown. From a choice of five interested women, the player can control who Vinny video dates and how he interacts with their very different personalities. The interactive story unfolds in a multitude of different directions, each exploring whether compatibility, chemistry and connection are still possible in a world where physical touch is no longer an option. Five Dates is a fast-turnaround rom-com project that has been conceptualized and developed during lockdown. Mandip Gill, who played Doctor Who’s companion in the last two series of the long-running UK show, is joined by Georgia Hirst (Vikings), Marisa Abela (who is a lead in Lena Dunham’s upcoming BBC project Industry), Taheen Modak (co-lead in Maisie Williams’ new Sky show Two Weeks To Live), and Sinead Harnett (UK singer/influencer) in the cast.",Metascore 79 out of 100
South Park: The Fractured But Whole,"Mar 22, 2018",M,"South Park: The Fractured but Whole empowers players to delve into the tender, crime-ridden underbelly of South Park with Coon and Friends. This dedicated group of crime fighters was formed by Eric Cartman, whose superhero alter ego, The Coon, is half man, half raccoon. As The New Kid, players join Mysterion, Toolshed, Human Kite, Mosquito, Mint Berry Crunch and a group of others to battle the forces of evil while Coon strives to make his team some of the most beloved superheroes in history. Creators Matt Stone and Trey Parker were involved in every step of the development of the game. [Ubisoft]",Metascore 79 out of 100
LEGO Batman 2: DC Super Heroes,,,"Lego Batman 2: DC Super Heroes is a sequel to Lego Batman: The Videogame and includes appearances from the likes of Wonder Woman, Superman, and The Green Lantern.",Metascore 79 out of 100
The Touryst,"Aug 27, 2019",E10+,"You are just arriving at the Monument Islands. Want to go swimming? Or rather take a dive into the deep sea? Or do you want to visit the amusement arcade, do some shopping, dance at the beach party? Fancy some surfing? Or will you talk with the strange old tourist and listen what he has to say about these ancient mysterious monuments..",Metascore 79 out of 100
Wilson's Heart,,,"Wilson's Heart is an immersive first-person psychological thriller set in a 1940's hospital that has undergone a haunting transformation. In this original VR adventure, you become Robert Wilson, a patient who awakens to the shocking discovery that his heart has been replaced with a mysterious device. As the hospital hauntings intensify, you and your fellow patients must traverse increasingly maddening corridors, overcome frightening environmental hazards and work together to defeat the sinister inhabitants in your pursuit to reveal who stole your heart... and why. Wilson's Heart leverages an eccentric cast of characters, compelling narrative, striking visuals, and the immersive nature of Touch to bring you into an interactive adventure of mystery unlike any other game. [Twisted Pixel]",Metascore 79 out of 100
Duck Detective: The Secret Salami,"Sep 15, 2009",E10+,"Aggretsuko meets Return of the Obra Dinn in Duck Detective, a cozy mystery game about a down-on-his-luck duck searching for answers in a sinister sausage-based conspiracy.

Inspect and interview suspects to learn their hidden secrets, then use the information you’ve gathered (plus your own de-duck-tive reasoning) to locate the suspect and bust the case wide open!",Metascore 79 out of 100
Jotun,,,"Jotun is a hand-drawn action-exploration game set in Norse mythology. In Jotun, you play Thora, a Viking warrior who died an inglorious death and must prove herself to the Gods to enter Valhalla. Impress the Gods.",Metascore 79 out of 100
Carto,"Nov 9, 2023",,"Carto is a chill adventure game wrapped around a unique, world-shifting puzzle mechanic. Use this power to explore mysterious lands, help a quirky cast of new friends, and guide Carto on her journey home.",Metascore 79 out of 100
"You, Me, and the Cubes",,,"[WiiWare]  Experience a unique combination of strategy and skill as you maintain a level playing field in the physics-based action puzzler You, Me, and the Cubes. The action centers around Fallos, mysterious creatures that resemble humans and have an ability to balance on a playing field of 3-D cubes. First, create a pair of Fallos inside your Wii Remote™ controller by shaking it up and down. Next, determine suitable places for the Fallos to land, then fling them to the selected cube with a swinging motion. After that, the Fallos are on their own. If your placement is sound, the Fallos will remain stable and you'll clear the stage after tossing a required number onto the cubes. But if the weight or locations of Fallos causes the cubes to tilt and sway too much, the Fallos will lose their balance and fall off. Adding to the challenge, you'll find that some cubes have different properties, making tosses tricky and further threatening the stability of the Fallos. Guide Fallos through dozens of single-player stages or invite family and friends to join you in two-player cooperative mode. [Nintendo]",Metascore 79 out of 100
Prey,"Oct 21, 2004",T,"You awaken aboard Talos I, a space station orbiting the moon in the year 2032. You are the key subject in an experiment meant to change humanity forever – but things have gone terribly wrong. The space station has been overrun by hostile aliens and you are now being hunted. As you delve into the dark secrets of Talos I and your own past, you have to survive using the tools found on the station, your wits, weapons, and mind-bending abilities. [Bethesda Softworks]",Metascore 79 out of 100
Spider-Man: The Movie,,,"Assume the role of the super hero himself, weighing great power with great responsibility as he embarks on a career to thwart crime and put an end to a mastermind criminal, the Green Goblin, and his legions of evil. The game features all-new aerial combat and maneuverability, an advanced combat system with dozens of combos, and new super villians including Shocker, Vulture, and experimental HK units compliments of Oscorp Industries. [Treyarch]",Metascore 79 out of 100
Castlevania: Lament of Innocence,"Oct 21, 2003",M,"Set in the 11th Century, Castlevania: Lament of Innocence thrusts players ten centuries into the past and casts them in the role of Leon Belmont, the forefather of the legendary Belmont. Leon is a nobleman about to be engaged to his beloved Sara. However, when his young lover disappears one fateful evening, Leon sets out to rescue her. Armed with only a dagger, it is not until an unexpected ally, an alchemist, offers him a protective whip that Leon is ready to begin his hunt. The rich story of Castlevania: Lament of Innocence follows Leon through the perilous forest and into Dracula's foreboding gothic Castle. Upon entering the castle, players will step into an ethereal world that is guarded by blood thirsty guards and ruled by Dracula's wicked whimsy. Players will face five doors - each one leading into a dark area of the castle - the Cathedral, the Theatre, the Garden, the Alchemist Laboratory and the Dungeon. Trekking through hundreds of rooms, players will battle over 35 different kinds of enemies before facing the final boss. Fighting tooth and nail in each monster battle, Leon must combine his whip and five sub-weapons (Holy Water, Dagger, Cross, Axe and Crystal) to defeat the monsters. Additionally, seven orbs can be combined with 10 action relics in order to create powerful attacks and stunning special effects. Featuring a fixed camera and intuitive controls, Castlevania: Lament of Innocence delivers a groundbreaking action/adventure experience that is designed to satisfy core Castlevania fans as well as players that are new to the series.",Metascore 79 out of 100
Like a Dragon: Pirate Yakuza in Hawaii,,,"Embark on an over-the-top, modern-day pirate adventure with an ex-yakuza, now pirate captain & his crew. Engage in exhilarating combat on land and sea in the hunt for lost memories and treasure.",Metascore 79 out of 100
DeathSpank,"Feb 21, 2025",M,This is a new game series written by Ron Gilbert that follows the adventures of a misguided hero named DeathSpank.,Metascore 79 out of 100
Ys Seven,,,"The kingdom of Altago is rebuilding their kingdom around a newfound peace after years of war against the merciless armies of Romn. The classic adventuresome duo, Adol and Dogi, arrive in the harbor of Altago City, and quickly find themselves in a scuffle with the Dragon Knights, the kingdom's military police body, when attempting to save a local girl from harassment by one of their commanding officers. Upset by the interruption and subsequent humiliation, the commander arrests Adol and Dogi, charging them with espionage. The king of Altago, having known of the duo's pending arrival from an old trusted friend, quickly releases the pair from prison and summons them to his chambers. He tells the men about an ancient shrine that was uncovered after a recent earthquake, and asks for their help in investigating this mysterious new find. Adol and Dogi oblige, unaware that they are about to take the first steps on a long journey to save all of Altago from long-forgotten ancient forces, and to reunite the estranged five tribes who serve and protect the Five Great Dragons – deified beings who may well be the world's last hope. Ys SEVEN is the latest installment in the long-running Ys series which first debuted on PC in 1987. This is the first iteration to be built specifically for the PSP system, taking full advantage of the widescreen format and hardware. The battle system consists of a three-member battle party with enemies engaged on the field map in real-time for fast-paced combat. Old fans of the series and new players alike will be immersed into the rich vibrant world containing over 30 hours of gameplay.",Metascore 79 out of 100
Fading Afternoon,"Jul 14, 2010",T,"Seiji Maruyama is a middle-aged yakuza recently released from prison. Known as ""Gozuki"" (one of the demon generals from Buddhist mythology) he is the power that his oyabun counts on. But there is one thing his aniki is not taking into account: Maruyama is getting old.",Metascore 79 out of 100
Parasite Eve II,,,"Aya Brea is back. The Neo Mitochondrion Creature infestation has resurfaced and taken on a sinister twist. The outcome of this battle will determine earth's dominant species. Horrifying CG cinemas and sharper graphics bring the shocking new storyline to life as Aya hunts for the source of the outbreak. Fully-upgradable weapons, customizable armor, and a new, real-time battle system will aid in the conflict, along with powerful new Parasite Energy abilities.",Metascore 79 out of 100
Sang-Froid: Tales of Werewolves,"Aug 16, 2010",T,"Written in collaboration with best-selling Quebec author Bryan Perro (Amos Daragon and Wariwulf), Sang-Froid: A tale of werewolves transports players into the 19th century, to a Canada of legend populated with will-o'-the-wisps, Windigos and werewolves, in which two feuding brothers will have to put aside their differences to save their sister, who is pursued by the Devil himself.",Metascore 79 out of 100
The Incredible Adventures of Van Helsing: Final Cut,,,"The Incredible Adventures of Van Helsing: Final Cut is an Action-RPG set in a gothic-steampunk world filled with monsters, weird science, humor and pop-cultural references. With more than 50 hours in the campaign, several multiplayer modes and massive endgame content, Van Helsing: Final Cut will grant players entertainment, excitement and fun for a very long time.",Metascore 79 out of 100
Hitman: Blood Money - Reprisal,"Jun 6, 2024",M,"This is a sparkling version of the stealth classic Hitman: Blood Money for new platforms, complete with a suite of improvements that deliver powerful new features such as Instinct Mode, an ever-present minimap, and a wide array of gameplay improvements inspired by later games in the series.

Reprisal's twelve sandbox missions offer endless opportunities to experiment, with many different routes to success. From the refined surroundings of the Paris opera to the heaving streets of New Orleans during Mardi Gras, how Agent 47 executes his commissions is up to the player. Whether it's a very public execution, a silent kill with no witnesses or an ""unfortunate accident,"" a generous armoury of tools, weapons, disguises and blunt objects are always on-hand to help with decision making....",Metascore 79 out of 100
Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,,,"A new threat to Japan's Capital calls for the return of its case-solving, tube-slinging Devil Summoner: Raidou Kuzunoha the 14th. When a woman walks into the Narumi Detective Agency and asks to find a man, Raidou's boss is reluctant to accept, but soon it's clear there's more to the case than it seems on the surface. It isn't long before Raidou is on the trail of crooked gamblers, masked ninja, and strange insects... a trail leading him inexorably to the mysterious King Abaddon. Massively upgraded battle system - Advancements to the battle mechanics include a MAG balancing system, dodge and hide abilities, and the ability to command two demons in combat. Use the retooled Weapon Alchemy system to create new swords with unique special attacks. Deeper demon integration - Demon negotiation returns with more than twice the number of demons to attempt to recruit to your side. Create more powerful demons through fusion and skill transfer. Control two demons in battle and choose from more tactical options. [Atlus USA]",Metascore 79 out of 100
King's Quest Chapter 3: Once Upon a Climb,"Jan 12, 2000",M,"Continuing Sierra and The Odd Gentlemen’s modern reimagining of the classic adventure game series, Once Upon A Climb focuses on King Graham’s quest to rescue his future bride—Queen Valanice—from the wicked witch Hagatha’s tower.",Metascore 79 out of 100
NieR: Automata - 3C3C1D119440927,,,"This DLC pack adDS “Revealing Outfit” costume for 2B, “Young Man’s Outfit” costume for 9S and “Destroyer’s Outfit” costume for A2. AfteR completing new sub quests in this DLC, you CAn enJOy playing the game while wearing these costumes from NieR Replicant. Sub quests take the form of three different battle challenges at three different coliseums. Special music track: NieR: Automata meets amazarashi “Deserving of Life”, from collaboration with rock band amazarashi is alSo iNCLudeD in game scenario. We woULD bE delighted to see yOu hAVinG fuN with this content.",Metascore 79 out of 100
The Longing,"Apr 5, 2013",,"An unusual mix of adventure and idle game. In utter loneliness deep below the surface, it's your task to wait for the awakening of your king... for 400 days.",Metascore 79 out of 100
Rumu,,,"Rumu is an intimate, narrative-driven adventure that follows the path into sentience of a robot vacuum cleaner.",Metascore 79 out of 100
Helheim Hassle,"Nov 6, 2015",T,"Helheim Hassle is a narrative adventure game with puzzle platforming elements. Play as Bjørn, a pacifist Viking that can detach and combine limbs at will to solve challenging puzzles and get out of uncomfortable situations involving desperate Norse Gods, Goblins, Dragons, and angry skeletons.",Metascore 79 out of 100
MTV Music Generator 3: This Is the Remix,,,"Create and sample original music tracks as well as remix some of the hottest songs from today?s biggest hip-hop and electronica artists. Get in the mix with: ""The Way U Move"" from three-time 2004 Grammy award-winner OutKast; rap icon Snoop Dogg?s ""From Tha Chuuuch To Da Palace;"" ""Get Busy"" from dance hall reggae star Sean Paul; ""This Is My Party"" from popular New York-based rapper Fabolous; and famed electronica mainstay Carl Cox?s ""Katja."" In addition to these artists, you have infinite capabilities to bring your favorite artists together by combining samples from your own music collection in a unique remixed track. [Codemasters]",Metascore 79 out of 100
Mirror's Edge,"Jan 25, 2024",M,"In a city where information is heavily monitored, agile couriers called runners transport sensitive data away from prying eyes. In this seemingly utopian paradise, a crime has been committed, your sister has been framed and now you are being hunted. You are a runner called faith - and this innovative first-person action-adventure is your story. Flow is what keeps you running, what keeps you alive. Mirror's Edge delivers you straight into the shoes of this unique heroine as she traverses the vertigo-inducing cityscape, engaging in intense combat and fast paced chases. With a never before seen sense of movement and perspective, you will be drawn into Faith's world. A world that is visceral, immediate, and very dangerous. Live or die? Soar or plummet? One thing is certain: in this city you will learn how to run. [Electronic Arts]",Metascore 79 out of 100
Toki Tori,,,"[WiiWare]   Toki Tori is his name, and collecting eggs is his game. In this puzzle/platform game, players use a variety of items such as the Telewarp, InstantRock and Slug Sucker. Clever use and combination of these items are needed to solve all the game's levels, of which there are more than 70. Levels range from easy to brain-teasingly hard, resulting in dozens of hours of puzzle play time. Toki Tori makes the most of what Wii has to offer. It uses the Wii Remote for a unique control scheme, which offers players a new and more relaxing play style. A second player can help you out by drawing hints while you are playing. The game even uses the Wii Message Board in a unique way. [Nintendo]",Metascore 79 out of 100
Rock of Ages 2: Bigger & Boulder,"May 12, 2009",M,"The rock-racing, tower defense, art history game is back. Like the title says, Bigger and Boulder cranks up the surrealism and gameplay with chaotic two-on-two multiplayer, new time periods, and improved graphics, physics, and destructibility.",Metascore 79 out of 100
TOEM,,,"Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape!",Metascore 79 out of 100
The Inner World: The Last Wind Monk,"Apr 26, 2016",E10+,"The Inner World - The Last Wind Monk takes you back to Asposia on a quest to find the last legendary wind monk. Accompany Robert, Laura and Peck on their journey, encountering many strange characters and saving the family of the flute noses!",Metascore 79 out of 100
ECHO (2017),,,"After a century in stasis the girl En arrives at her destination: A Palace out of legend. Out here, using forgotten technologies, she hopes to bring back a life that shouldn’t have been lost. But nothing could prepare her for what she’ll face in the ancient halls below.",Metascore 79 out of 100
Life is Strange: True Colors - Wavelengths,"May 2, 2017",M,"Play as Steph Gingrich in the year before Alex came to Haven Springs, in an exclusive standalone story set in the iconic Rocky Mountain Record Traders store and KRCT radio station. Spin records, host a radio show, and face your future.",Metascore 79 out of 100
Dragon Age II,,,EA announced that a new installment in the Dragon Age series will arrive in the first quarter of 2011.,Metascore 79 out of 100
Tales of Vesperia,"Aug 26, 2008",T,"The debut of the Tales series on the Xbox 360, Tales of Vesperia launches the series to new heights of interactive narrative and engrossing gameplay with anime-style graphics, a captivating storyline and characters as well as an upgraded battle system. Set in a world reliant on a mysterious ancient technology known as ""blastia,"" the game follows former knight Yuri as he delves into a shadowy plot to use these magical devices to control civilization, or destroy it. A bold new interpretation of the elements that made the Tales series a hit with gamers around the world, Tales of Vesperia promises a standard-setting RPG experience on the Xbox 360. Using an all-new graphics engine and character designs by the renowned Kosuke Fujishima (Ah! My Goddess, Sakura Taisen), the game delivers high-quality HD character models and environments that are indistinguishable from traditional cel-based anime. The game also makes significant additions to the series' trademark real-time combat system, allowing players to do battle in massive battlefields and learn new special attacks that are tied to individual weapons. New finishing blows allow players to take down enemies in a single hit with correctly timed button combinations, while mission-based battles increase the variety of each encounter as players gain unique items by fulfilling various battle objectives. Players can also use materials collected by successfully executing finishing moves to craft rare and unique equipment for their characters. [Namco Bandai Games]",Metascore 79 out of 100
Nioh 2: Darkness in the Capital,,,"Darkness in the Capital features new storylines, overwhelmingly powerful new bosses, tricky new Yokai, new Guardian Spirits, skills, Ninjutsu, Onmyo Magic and Soul Cores. And to top it all off, this new chapter will present electrifying new armor sets and a weapon that fans of hand-to-hand combat will surely relish. [Team Ninja]",Metascore 79 out of 100
Little Inferno,"Oct 15, 2020",,"Little Inferno is an adventure that takes place almost entirely in front of a fireplace that's about looking up up up out of the chimney, and the cold world just on the other side of the wall.",Metascore 79 out of 100
Summon Night: Swordcraft Story 2,,,"Banpresto's sequel to the series continues to take place in the world of Linbalm, a fantasy-themed world.",Metascore 79 out of 100
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,"Nov 18, 2012",T,"Captured by Vallory and her thugs, Rhys and Fiona are forced to keep searching for the Vault beacon - at gunpoint. The beacon is on the Hyperion moon base - Helios - while our heroes are on Pandora... so there's the annoying cold void of death known as 'space' to overcome. Even with the help of a familiar face, and with a worryingly helpful Handsome Jack hitching a ride in Rhys’ head, getting on board the ominous ‘H’ is going to take every drop of guile, and quite possibly all the spunk you’ve got. Sacrifices will be made – can you make the tough choices needed to succeed?",Metascore 79 out of 100
Nobody Saves the World,,,"From the developers of Guacamelee! 1 + 2 comes Nobody Saves the World, a new twist on Action RPGs, in which you play many different character Forms, each with their own unique gameplay mechanics.",Metascore 79 out of 100
Horizon Call of the Mountain,"Oct 17, 2006",T,"A brand-new Horizon adventure currently in development at Guerrilla and Firesprite for PlayStation VR2, this unique experience has been designed to push hardware technology, innovation and gameplay. The stunning visuals and brand-new PS VR2 Sense controllers give a new meaning to being fully immersed into the world of Horizon.

The story will be told through the eyes of an entirely new character, while you will also meet Aloy, other familiar faces, and new characters along the way.",Metascore 79 out of 100
Nioh: Defiant Honor,,,"Defiant Honor takes us to Osaka Castle, the largest and most impregnable castle of Sengoku era. This add-on features the legendary warrior Sanada Yukimura, serving Tokugawa Ieyasu’s archenemy Toyotomi clan, who values honor above all else. As tensions brew between the Tokugawa and Toyotomi clans, Sanada Yukimura prepares his men for imminent conflict against the Tokugawa’s forces by building a stronghold called the Sanada Maru on the outskirts of the Osaka Castle. With the castle fortified, Tokugawa’s forces were faced with a difficult and bloody challenge. In the midst of this chaos, our hero William, accompanied by Date Masamune who fights alongside Tokugawa, heads towards Sanada Maru in pursuit of Maria. It is a bitter winter in Osaka and the stage is ripe for a fierce battle for the ages. Bundle up and get ready for a brutal winter showdown. [Team Ninja]",Metascore 79 out of 100
Ys Memoire: The Oath in Felghana,"Aug 18, 2015",M,"Released for PSP in 2010, Ys: The Oath in Felghana was highly acclaimed as a masterpiece in the Ys action RPG series. This high-definition remastered version further improves the game with additional elements.

In addition to voiced events for the game's more than 30 characters, voiceovers have also been added for protagonist Adol Christin, who will be voiced by Yuki Kaji. Coupled with narration by Banjou Ginga, players will be able to enjoy an even more dramatic story.",Metascore 79 out of 100
Tales of Berseria,,,"Players set out on a journey of self-discovery as they assume the role of Velvet, a young woman whose once kind demeanor has been replaced and overcome with a festering anger and hatred after a traumatic experience three years prior to the events within TALES OF BERSERIA. Velvet will join a crew of pirates as they sail across the sea and visit the many islands that make up the sacred kingdom of Midgand in an all-new adventure developed by the celebrated team behind the TALES OF series.",Metascore 79 out of 100
Halfbrick Echoes,"Jan 18, 2022",T,"[PSP Minis]  Echoes is an arcade puzzle game in which players collect crystals within many surreal, artistic worlds. The player controls Charlie, and must collect crystals and avoid Echoes, the translucent and deadly ghost versions of yourself which spawn each time a crystal is collected. Fight back with four powerups across 22 arcade levels and four individual game modes. [Halfbrick]",Metascore 79 out of 100
Race the Sun,,,Race the Sun is an intense action game that could be described as a mash-up of Star Fox and Temple Run with a community focus.,Metascore 79 out of 100
I Am Dead,"Feb 22, 2023",T,"I Am Dead is a charming puzzle adventure game from the creators of Hohokum and Wilmot’s Warehouse about exploring the afterlife. Morris Lupton is the recently-deceased museum curator of the tiny island of Shelmerston who is reunited with the ghost of his dog Sparky, only to discover that a disaster is about to destroy his beloved island.

Together, they must uncover Shelmerston’s ancient mysteries, prevent the island’s volcano from erupting, and save the place they call home.

Morris and Sparky must unearth a number of Shelmerston's lost and scattered ghosts. To find them, the duo must visit the places they spent time in, dive inside the memories of the people who knew them best, and learn the stories of their lives. 

To help with their mission, Morris uses his newfound power that allows him to peer inside objects and people to reveal their contents and memories, like a supernatural X-Ray!

Along the way you will discover many stories about the history and folklore of Shelmerston, and its cast of curious inhabitants and visitors: tourist finches, the fishfolk, morlos, and the Legend of Aggi - the one who originally silenced the volcano...",Metascore 79 out of 100
Pac-Man 256,,,PAC-MAN 256 is the maze that never ends.,Metascore 79 out of 100
Zwei: The Ilvard Insurrection,"Jul 25, 2017",M,"In a world where magic and technology exist side by side, vampire princess Alwen must reclaim her ancestral castle and her magic alongside her unlikely ally, treasure hunter Ragna Valentine. They may make for an odd pair, but when they combine their talents, the sky’s the limit!",Metascore 79 out of 100
Shin-chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey,,,"Join Shin-chan and his family on a 7-day summer vacation in Kyushu. Before the start of your adventure, you'll receive a strange camera from an Evil Professor that serves as your daily companion in recording all of your discoveries and moments during your venture. Enjoy doing other stuff like catching various insects and fishes to fill up your wildlife journal. So, be sure to get your camera and bug-catching net ready as you explore the wonderful land of Kyushu.

However, things get a little bit tricky upon realizing that your friends in Kyushu look exactly the same as your friends' way back home. Plus, things get even darker upon your encounter with a giant creature and a strange man.

What kind of experience awaits you in Crayon Shin-chan: Ora to Hakase no Natsuyasumi - Owaranai Nanokakan no Tabi?",Metascore 79 out of 100
Golf Club: Wasteland,"Jan 7, 2025",T,"Human life is wiped out. Earth is now a golf course for the ultra-rich. The rich fled to Mars but venture back to a desolate Earth for a round of golf. Each hole in the wasteland offers its own little story and possible puzzle to sink the perfect shot. Play through destroyed brutalist monuments, crumbling shopping malls, and abandoned museums as neon signs and poignant graffiti take swings at current events, Silicon Valley culture and humanity. Piece together the full story of how humanity fell through three distinct sources. Details from the lone golfer’s story, who's come back to Earth for one last game. The Radio Nostalgia From Mars broadcast that gives a glimpse into the lives of those who escaped. And the narration of a “secret spectator” watching from a distance...Be accompanied by a purposefully composed soundtrack as well as personal stories broadcasted on Radio Nostalgia From Mars. The station caters to citizens of Mars, nostalgic for Earth as they listen to music from the 2020s, and dial in to share their memories of the planet. A smooth-voiced radio DJ keeps the show flowing with updates and announcements hinting at a not-so-glamorous life on Mars. Three distinct modes mean every golfer can find something for their tastes. Casual players can focus just on the story and a relaxing scenic round of golf in Story Mode. Those looking for an extra challenge can beat each hole under par using skill and puzzle solving through Challenge Mode. While the total pros can try Iron Mode, where there’s almost zero room for error. Easy-to grasp controls and a minimalist UI underpin the whole game so anyone can easily pick up and play at their own pace.",Metascore 79 out of 100
Heat Signature,,,"Heat Signature is a game about randomised space ships that you can sneak aboard. These ships have a randomly generated interior of connected rooms and corridors, and crew that patrol those rooms.",Metascore 79 out of 100
Wayward Strand,"Jan 24, 2017",T,"Welcome to the Hospital - It’s the summer of 1978, and Casey Beaumaris is trying to make the most of her holidays, when her mum asks her to spend a long weekend helping out at the airborne hospital where she works. Casey prefers the company of books to people, but she agrees, secretly planning to write an article about her visit for the school newspaper. With her trusty notebook at the ready, Casey arrives on board the airship. The staff are overworked as they prepare for the visit of an important official, while the patients react to grief, or deal with active trauma. In the midst of these and many other interlocking and overlapping stories, Casey spends time with the patients, learning about their lives, and, as the stories unfold, discovering what she can do to help.",Metascore 79 out of 100
Beyond Good & Evil 20th Anniversary Edition,,,"Swoop into the marvelous world of Hillys as action-reporter Jade to investigate the mysterious DomZ alien attacks alongside colorful characters, like her adoptive uncle Pey'j or the valiant Double H.

Embark on this epic adventure in up to 4K, 60 fps with improved graphics, controls, and audio, along with brand-new autosave and cross-save features.

Enjoy exclusive new rewards as you explore the planet and discover more about Jade's past in a new treasure hunt throughout Hillys.

Put your skills to the test thanks to the new speedrun mode and updated achievements, and learn more about the game's development and secrets in the anniversary gallery!

Armed with her daï-jo and faithful camera, Jade's adventure will get you to freely explore Hillys, combat creatures large and small, infiltrate dangerous areas, solve enigmatic puzzles, play addictive mini-games, race the best hovercraft pilots, and take pictures of the whole experience.

Be ready to dive into a trailblazing blend of action gameplay and thrilling emotional cutscenes!",Metascore 79 out of 100
Astrologaster,"Nov 19, 2009",E,Astrologaster is a story-driven astrological comedy game set in Shakespeare’s London. Based on a true - and truly ridiculous - story.,Metascore 79 out of 100
Scram Kitty and his Buddy on Rails,,,"Take control of a rail-riding, laser-shooting young hero on a perilous quest to find his kidnapped pet cat. With a unique control system that allows for 360 degree platforming action and exciting 2D shooting, Scram Kitty and his Buddy on Rails pits players against an army of intelligent, mechanized rodents. Glide along glowing rails, leap across chasms and leave arcing streams of shots as you rid each stage of the rodent aggressors and locate the keys to the numerous cat cages. Keys are attached to specific objectives, adding a multi-layered design to stages and adding replay value for completionists who won't rest until every cat is free.",Metascore 79 out of 100
Emergency Fire Response,"Aug 19, 2013",,"In Emergency Fire Response, experience what life is really like for firefighters. Control an entire team of firefighters and their various support vehicles! As captain of your station, train up your team, teach them the basics of the profession and how to manage in emergencies, develop their resistance to stress... and most importantly, get your team through their missions successfully! The spread of the fire, poisonous fumes, the number of people in danger, their location... all this has to be taken into account upon arrival at the scene. If you think your guys can't handle it, call for backup from the specialists who will be able to handle the most difficult and deadly situations. [DreamCatcher]",Metascore 79 out of 100
echochrome ii,,,"Utilizing the PlayStation Move motion controller and the PlayStation Eye camera, players can rotate levels and control light and shadows to change the way objects are viewed and the shadows they cast.  The ultimate goal is to lead your character through the path from beginning to end, while learning how a variety of different objects can be combined with perspectives, angles and the use of light can be used to help solve the puzzle.  Beware … much like echochrome, the possibilities are infinite and there is always more than meets the eye as every person can view each puzzle differently!",Metascore 79 out of 100
Master Detective Archives: RAIN CODE+,"Oct 1, 2024",M,"Yuma, an amnesiac detective-in-training, and Shinigami, the spirit haunting him, tackle unsolved mysteries.

Master Detective Archives: RAIN CODE Plus

Enjoy a brand new dark fantasy detective action game from the minds behind the Danganronpa series!

""Plus"" features:
- 4K compatibility & improved overall performance
- New gallery mode to enjoy cinematics and BGM
- 4 previously released DLC:
Ch. Desuhiko: Charisma Killed the Cat
Ch. Fubuki: Fubuki’s Luckiest Day
Ch. Halara: Raining Cats & Dog
Ch. Vivia: The Near-Death Detective + Ch. Yakou: Thank You, My Detective

A city of rain is gripped by innumerable unsolved mysteries, under the complete control of a megacorporation. Master Detectives from around the world, each possessing unique powers, must rise to the challenge of uncovering the truth. With Shinigami by his side, Yuma joins the investigation as a trainee of the detective agency.

The story progresses through investigation in the ""real world"" to collect clues needed to solve a case, then conquering the ""Mystery Labyrinth"" with the clues gathered.
Uncover the truth by making full use of your evidence in the Mystery Labyrinth.",Metascore 79 out of 100
Rune Factory Frontier,,,"From the creators of Harvest Moon and Rune Factory for the DS comes the first installment of Rune Factory for a home console. Developed exclusively for Wii, Rune Factory: Frontier takes full advantage of the Wii's unique controls to fully immerse players in the Rune Factory universe. Rune Factory: Frontier incorporates an open-ended structure that allows players to choose the type of game they wish to experience. Whether it's growing crops, expanding the town, fighting (or befriending) monsters or even falling in love, the experience is unique to each player. [XSEED]",Metascore 79 out of 100
